group,site_title,active,first_seen,last_seen,victim_count,language,login_gate,screenshot_url,first_party_victims,mirrors_up
d1r,Items – D1R,yes,,,3,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/d1r/20260916T034116Z.png,0,1
ethics,Team Site,yes,,,3,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/ethics/20260916T034211Z.png,0,2
falcon,Falcon,yes,,,3,en,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/falcon/20260916T034226Z.png,2,1
grief,,no,2021-05-26,2021-06-30,3,,,,0,0
hellogookie,,no,2024-04-19,2024-04-19,3,,,,0,0
mnt6,MNT6,no,2026-04-30,2026-05-02,3,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/mnt6/20260517T033128Z.png,0,0
noname,,no,2023-09-11,2023-09-12,3,,,,0,0
ragnarok,,no,2021-03-31,2021-12-30,3,,,,0,0
rebornvc,,yes,2025-07-08,2025-07-09,3,,,,0,0
timc,Pixel Dashboard,yes,2026-04-09,2026-04-09,3,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/timc/20260916T034514Z.png,0,1
trisec,,no,2024-02-16,2024-02-19,3,,,,0,0
vanirgroup,THIS HIDDEN SITE HAS BEEN SEIZED | Vanir Locker Ransomware,no,2024-07-10,2024-07-10,3,de,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/vanirgroup/20260503T033849Z.png,0,0
vendetta,,no,2023-02-12,2023-02-27,3,,,,0,0
yurei,,no,2025-09-05,2025-09-09,3,,,,0,0
blackfield,,yes,,,2,,,,0,0
bluewhale,,yes,,,2,,,,0,0
cry0,cry0 blog,yes,2026-03-30,2026-08-06,2,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/cry0/20260916T033031Z.png,0,0
cryptnet,,no,2023-04-19,2023-04-19,2,,,,0,0
kittykatkrew,,no,2026-02-23,2026-02-25,2,,,,0,0
lunalock,,no,2025-09-02,2025-09-13,2,,,,0,0
nightsky,,no,2022-01-04,2022-01-04,2,,,,0,0
osiris,Osiris,no,2025-12-10,2026-01-09,2,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/osiris/20260503T033617Z.png,0,0
prolock,,no,2020-02-23,2020-04-25,2,,,,0,0
redact,REDACT - Home,yes,,,2,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/redact/20260916T034340Z.png,1,2
sensayq,,yes,2024-06-04,2024-06-04,2,,,,0,0
the green blood group,,yes,,,2,,,,0,0
zerolockersec,,no,2025-03-25,2025-03-25,2,,,,0,0
blacklocks,BLACKLOCKS,yes,,,1,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/blacklocks/20260916T034701Z.png,0,1
crosslock,,no,2023-04-17,2023-04-17,1,,,,0,0
hades,,no,2020-12-15,2020-12-15,1,,,,0,0
insane,,no,2024-01-17,2024-01-17,1,,,,0,0
kyber,CAPTCHA Verification,no,2026-03-18,2026-03-18,1,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/kyber/20260826T033114Z.png,0,0
la_piovra,,no,2022-06-25,2022-06-25,1,,,,0,0
loki,,yes,2026-03-12,2026-03-12,1,,,,0,0
notpetya,,yes,,,1,,,,0,0
playboy,,no,2024-10-28,2024-10-28,1,,,,0,0
ranstreet,,no,2023-12-21,2023-12-21,1,,,,0,0
reynolds,Reynolds,no,2025-11-13,2025-11-13,1,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/reynolds/20260705T033223Z.png,0,0
robinhood,,yes,2021-12-06,2021-12-06,1,,,,0,0
sicarii,,no,2026-01-05,2026-01-05,1,,,,0,0
slug,,no,2024-01-15,2024-01-15,1,,,,0,0
sovcali,Sovcali — Blog,yes,,,1,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/sovcali/20260916T034445Z.png,0,1
synack,,no,2021-03-21,2021-03-21,1,,,,0,0
walocker,,no,2025-06-10,2025-06-10,1,,,,0,0
zerotolerance,,no,2024-05-05,2024-05-05,1,,,,0,0
0apt,404 - Compromised,no,2026-01-28,2026-02-23,0,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/0apt/20260823T033026Z.png,0,0
abrahams_ax,,yes,,,0,,,,0,0
adminlocker,,no,,,0,,,,0,0
againstthewest,,no,,,0,,,,0,0
agl0bgvycg,,yes,,,0,,,,0,0
ako,,no,,,0,,,,0,0
aptlock,,yes,,,0,,,,0,0
avos,,no,,,0,,,,0,0
aware,,no,2026-01-06,2026-01-25,0,,,,0,0
aztroteam,,no,,,0,,,,0,0
babyduck,,no,,,0,,,,0,0
bluelocker,,no,2025-08-19,,0,,,,0,0
bluesky,,no,,,0,,,,0,0
bolt team,,yes,,,0,,,,0,0
chilelocker,,no,,,0,,,,0,0
contfr,ContFR - RAAS,yes,,2026-04-22,0,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/contfr/20260916T034035Z.png,0,1
cooming,,no,,,0,,,,0,0
crylock,,no,,,0,,,,0,0
dagonlocker,,no,,,0,,,,0,0
darkangels,,no,,,0,,,,0,0
darkbit,,no,,,0,,,,0,0
darkmatter,,yes,,,0,,,,0,0
datakeeper,Data Keeper - About,yes,2026-01-14,2026-04-22,0,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/datakeeper/20260916T033713Z.png,0,0
diavol,,no,,,0,,,,0,0
dread,DDOS Protection,yes,,2026-04-22,0,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/dread/20260916T033616Z.png,0,0
ech0raix,,no,,,0,,,,0,0
entropy,,no,,,0,,,,0,0
ep918,,no,,,0,,,,0,0
esxiargs,,no,,,0,,,,0,0
exorcist,,no,,,0,,,,0,0
fletchen,,no,2026-01-03,2026-01-24,0,,,,0,0
fsteam,,no,,,0,,,,0,0
galago,,yes,,,0,,,,0,0
goddamn ransomwhere,,yes,,,0,,,,0,0
haron,,no,,,0,,,,0,0
hellokitty,,no,,,0,,,,0,0
holyghost,,no,,,0,,,,0,0
hotarus,,no,,,0,,,,0,0
lilith,,no,,,0,,,,0,0
lockbit3_fs,LockBit - Leaked,yes,,2026-04-22,0,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/lockbit3_fs/20260916T033244Z.png,102,0
lolnek,,no,,,0,,,,0,0
madcat,,no,,,0,,,,0,0
mamona,,no,2025-03-12,,0,,,,0,0
mbc,,no,,,0,,,,0,0
meowciety403,Meowciety403,yes,,,0,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/meowciety403/20260916T034324Z.png,10,1
montage,,yes,,,0,,,,0,0
mortar,,no,,,0,,,,0,0
mydecryptor,,no,,,0,,,,0,0
n3tworm,,no,,,0,,,,0,0
nasirsecurity,Nasir Security,no,2025-10-05,2025-10-05,0,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/nasirsecurity/20260824T033107Z.png,0,0
nblock,,no,,,0,,,,0,0
nemty,,no,,,0,,,,0,0
nevada,,no,,,0,,,,0,0
onepercent,,no,,,0,,,,0,0
payday,,yes,,,0,,,,0,0
prometheus,,no,,,0,,,,0,0
promptlock,,no,2025-08-26,,0,,,,0,0
qlocker,,no,,,0,,,,0,0
rabbithole,,no,,,0,,,,0,0
ramp,,no,,2026-02-24,0,,,,0,0
ranion,,no,,,0,,,,0,0
ransombay,,no,2025-05-13,,0,,,,0,0
ransomcartel,,no,,,0,,,,0,0
ranzy,,no,,,0,,,,0,0
rransom,,no,,,0,,,,0,0
section9,,yes,,,0,,,,0,0
sevyware,,yes,,,0,,,,0,0
shadow,,no,,,0,,,,0,0
shiba,Shiba,yes,,,0,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/shiba/20260916T034436Z.png,0,1
shinysp1d3r,,yes,2025-11-15,,0,,,,0,0
solidbit,,no,,,0,,,,0,0
sugar,,no,,,0,,,,0,0
thegreenbloodgroup,,no,2026-02-04,2026-02-04,0,,,,0,0
the syndicate,,yes,,,0,,,,0,0
tommyleaks,,yes,,,0,,,,0,0
u-bomb,,no,,,0,,,,0,0
unknown,,no,,,0,,,,0,0
valencia,,yes,,,0,,,,0,0
vfokx,,no,,,0,,,,0,0
x001xs,,no,,,0,,,,0,0
xinof,,no,,,0,,,,0,0
xp95,403 Forbidden,no,2026-03-17,2026-04-22,0,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/xp95/20260604T033412Z.png,0,0
zeon,,no,,,0,,,,0,0
